emotion,content
1,改签到合肥也可以
1,你好有信用卡优惠吗
1,十二大美女伴奏
1,学习会好
1,我的爱人醒醒我想你了
1,祝身体健康15825378728
1,你们真的很厉害在下佩服
1,应该没错啊
1,C小时候的幸福很简单长大了简单就是幸福TT
1,呵呵很好啦
1,谢谢你的帮主
1,那帮我换便宜一点的
1,得到了了解决定
1,嗯你帮我办理吧好
1,我快结婚了恭喜我吧
1,我喜欢大儿子要怎么处置呢
1,哎哟好吧
1,么么么
1,好的谢谢请尽快安排
1,孙女和孙媳妇服务我那肯定爽死了
1,钱己到帳謝了
1,感谢这个月还可以用吧
1,好的谢谢SEE
1,爱心恒心耐心真心
1,十我爱你们和一起你们在那哪
1,哦哦那么快
1,现在有什么福利
1,噢谢谢小和
1,哈哈吃饭了吗还是谢谢你啊发短信提醒
1,赠送流量短信己确认收到
1,你也是新年快乐
1,还有全球通优惠比较多
1,申请书尊敬联通公司给我开通每月九元流量套餐特此申请谢谢
1,多号送吉祥号码陪你过鸡祥年
1,可以的再谢了
1,谢谢那怎么做
1,收到辛苦你了谢谢
1,那麻烦帮我开通吧谢了
1,感动有你
1,大好日子可高兴了
1,好的明白了谢谢
1,我爱你中国我包包
1,好妹子呵呵
1,老公要爱
1,你比联通好
1,已收到谢谢祝您生活愉快
1,陪你是在了吗啡亲亲
1,微笑哦哦这样啊谢谢哈
1,好的谢谢我试一下
1,巳短信收到1400元谢了
1,就帮我换这个吧谢谢
1,评你10分萌猫
1,不用了谢谢妹子
1,我喜欢苹果手机你给我行不
1,年终加薪
1,朕心甚慰
1,好厉害哦
1,刘诗婷我爱你
1,收到谢谢小刘
1,谢谢只要不关闭国际漫游一直有效吗
1,嗯嗯收到了谢谢亲
1,刚刚客服跟我说可以的呀
1,好哪谢谢你把人电话号码给我
1,琳琅满目
1,好这样子啊
1,你们的网速很快
1,谢谢我会记得的
1,就是广东省内互打都是免费了
1,哦哦明白我没其他问题了谢谢
1,文伟你可出来我请你吃东西
1,如非常好
1,爸昨天忘跟您说父亲节日快乐了祝您节曰快乐
1,睿智
1,你有什么好手机推荐给我
1,很轻松时候后天
1,多层次
1,你好沃在线客服帖n狞收到谢谢
1,没事没事谢谢
1,让安装师傅来看应该是可以的眨眼
1,您好咸阳
1,可以都符合达标
1,2182我爱你
1,勇敢才能去擦东哂
1,我的条件都符合吧
1,没事妈妈
1,信用卡福利
1,哦哦帮我屏蔽了吧谢谢
1,太感謝你了
1,我想学习
1,你帮我查一下电话费谢谢
1,好吧麻烦你了谢谢
1,夜夜休闲吧
1,嗨翻天
1,X6D够快才痛快
1,石阿姨货款我已经收到谢谢
1,真真切切
1,手机6
1,现在没有啦谢谢你
1,收到了谢谢乖乖崽加油请注意别喝太多酒身体更重点不要回我信息了呵呵
1,新年赠流量
1,我想念你
1,联通福利
1,您好好好
1,你还挺敬业的嘛那你们客服主要做什么的
1,哇这么厉害
1,暂时没有啊谢谢
1,帮我解除租网
1,你好我想要刷机教程
1,我試試thanks
1,六年我的少年变成了大叔多少青春已不再感谢你还在我身边
1,好的这句我就明白了
1,哦明白啦
1,好好说
1,好谢谢你了
1,手机好朋友K
1,早点休息晚安
1,你好岳阳
1,其实望我好那就等于望你自己好
1,岗位安排在那个楼成要无条件接受
1,我也想过番禺玩一下可真走不开想念番禺更想念
1,Dear花花我最最亲爱的金花花
1,随心享
1,真心英雄
1,下雨了大笑
1,超大流量
1,来电启示
1,己收袁老板谢谢
1,经典版白金信用卡
1,很高兴认识
1,这样子就可以了
1,给我免单金牌
1,让我高兴下
1,噢那谢谢
1,王芳你好
1,可以帮我取消上网功能吧谢谢
1,就是51爱拼才会赢
1,帮我停机保号谢谢
1,新年交好运
1,我想你了宝贝么么哒
1,好好玩呀玩的好开心啊
1,你很大度
1,爱国
1,业务好得很哦知道我是谁不
1,谢谢五一辛苦您了
1,快点哦谢了
1,没有了谢谢辛苦了节日快乐
1,原来是这样懂了
1,我永远支持你
1,那帮我改成18元那个吧谢谢
1,谢谢没事了88
1,现在接电话方便吗有急事请尽快与我联系谢谢
1,请帮我联系客服谢谢
1,很健康
1,沃宝您好我望您把我短信给我开通几日谢谢你们
1,谢谢了亲暂时没有问题了
1,我也很高兴遇到你
1,能啊有话费都能
1,嗯AA不用了谢谢你
1,的你好
1,家乡的每一片烂砖烂瓦都感觉亲切
1,洗碗机节能洗
1,今夜疯狂明日辉煌
1,嗯是好的
1,林总钱已收到谢谢
1,手机号码查过没问题
1,嗯好的没问题
1,哦没事多多益善哈哈
1,我对你的服务十分满意永恒的爱
1,省内流量包有哪几种渴望无坚不摧却偏偏柔情似水
1,你滴花姑娘大大的好
1,哈哈哈流量
1,app可以就好
1,嫁给我好吗
1,明白ManythanksBilly
1,算了不打扰你了给力我会给10086个赞
1,喔喔谢谢看到了
1,你好楚雄彝族自治州
1,趁暑假来临之前我想出去好好的放松放松好好的玩玩
1,谢谢我明天试试
1,谢谢谢你了
1,收到了多谢了
1,哈喽哈喽咯
1,不需要了十分满意您的服务
1,我宝贝
1,好的你的服务很好
1,谢谢小和呦
1,哦那就行了谢谢
1,没关系你慢慢长
1,祝你生活愉快再见
1,哦哦谢谢节日快乐
1,老师在干嘛不要太累了要不好多人担心您的
1,说得好鼓掌
1,噢好滴知道了
1,你好是这样的
1,赞x10086
1,好的祝五一快乐
1,等了好久终于等到今天
1,退票无忧
1,你好好一
1,玫瑰强节日快乐
1,你好朋友
1,Whatawonderfulworld
1,谢谢啦太谢谢了
1,快到让你飞起
1,装修推介名匠装饰全国连锁品牌是装修半包信得过好公司
1,谢谢2
1,爱上我
1,小姐姐你好
1,早晨好我们是中医互联网平台做中医在线体检的寻求合作谢谢
1,只有服务密码才更不容易被盗
1,买一送以
1,h我帅我酷非一般的自在
1,谢谢受到
1,非常感谢我之前不知道过了一年才发现
1,暫時沒有了謝謝你Nicole
1,好的了解的了
1,明白了谢谢其他没有了
1,路上堵车晚点到身体健康万事如意
1,哦哦原来这样那好的谢谢你吼
1,不可笑
1,是的我也很高兴认识你
1,不充我投入你了呵呵
1,好的谢谢害羞
1,站无需要多谢哦
1,喷血大大的惊喜
1,好的谢谢那你们这边有什么彩信套餐吗
1,您好HU7279
1,这才是句人话
1,哟喜欢你
1,你是一个很聪明的人
1,vivjfvjf7ucucudu乖乖放假了
1,距离不是问题
1,谨慎
1,目前没有了谢了
1,滿意100分
1,我不求什么只求能亲充入话费
1,好的赞同
1,需要帮我
1,放心了就这样
1,好的谢谢蛤
1,OK謝謝了
1,服务举措一资费实惠放心消费
1,好啦训啦Goodnight
1,没啥了谢谢节日快乐AAAA
1,互赞破3000
1,好的谢谢没其它问题了
1,暂时没有了谢谢
1,谢了啊
1,这样啊好
1,最好咯
1,愿收到信息的你每天都有好心情
1,可以多赠点吗
1,哦那好吧谢谢你了
1,好的很高兴认识你
1,都帮我取消吧谢谢了
1,冯丽梅收到谢谢
1,那我明白了
1,你行啊你自己选的
1,多美啊说的我都流口水了
1,没了再次感谢你大笑
1,好十分享
1,好帅
1,鸡鸡拿稳
1,ok那我明白了谢谢
1,绝对是好的啊
1,没了谢谢呀
1,收到謝
1,解决耗电问题
1,可以了我没事了谢谢
1,满意10分钟
1,您好您好
1,祝我新年快吧
1,我输入的是正确的
1,早点休息
1,千方百计爱上你
1,查询到了谢谢你
1,谢谢你可以退了辛苦了
1,下次希望能真的帮到客户
1,好的明白了谢了
1,任我强
1,爱我就追求我
1,晚安S
1,是的我喜欢你
1,花瓶里的鲜花一天不如一天街上小贩卖豆腐良师益友
1,他们的都可以的
1,快我要给你好评
1,谢谢终于把问题弄清楚了
1,同样吸力情况下比其它品牌都要响很多
1,是共同保护绿色家园
1,评为满意10分
1,多谢你老板娘收到了
1,呵呵那你挺好i
1,我是vivo的终极粉丝
1,其他都行
1,没事了谢谢麻烦了微笑
1,拜拜很开心认识你
1,Ok好的
1,灰姑娘IlHi你好
1,噢噢好呢谢谢
1,登记有礼
1,用货车改房车销售一定会好
1,你打字好快啊
1,网速好才行
1,客服你好
1,好的谢谢你差点又买到省内的了
1,好吧早点吃饭别饿肚子再见
1,服务到位谢谢大家
1,哦好那没事了
1,好的没问题了谢谢您
1,仔细
1,哦哦好知道啦谢谢
1,走了谢谢
1,生命不在呼长短但求活得灿烂吃光用光身体健康
1,很想告诉你我爱你
1,呵呵我想你了
1,哦知道了多谢小和
1,快考试了吧加油哦o哦祝你开心OO
1,满意评1010分
1,没有了谢谢有再找你吧
1,麻烦稍微快一点点谢谢
1,帮我激活这个卡谢谢
1,帮我退掉短号集群网谢谢
1,1静观世间百态笑看一切风云
1,清楚謝謝
1,好的退出吧全好评
1,收到谢谢了哦
1,没事哈哈哈
1,推荐的
1,我万岁
1,好吧谢谢你再见
1,很爱你好吗
1,哇哦爱你
1,爱家
1,美眉早上好
1,我爱你金宇轩
1,你就是我的唯一
1,明白多謝
1,谢谢辛苦了安装空调的师傅很好谢谢他们辛苦了为他们点个赞谢谢海尔公司
1,我请你吃饭哦
1,陈琳涵谢谢资费知道了
1,好謝謝1
1,没问题现在这个月的不清零就可以了
1,往我一直信赖你们中国移动呢
1,哦那试试谢谢谢你
1,千人之诺诺不如一人之谔谔警惕恭维你的珍惜诤友
1,收到工程款10元谢谢
1,哦谢啦
1,好吧就这样吧谢谢你
1,嗯嗯谢谢
1,大熊我想你了
1,麻烦你帮我取消了谢谢
1,下班吃饭吧大笑
1,无忧
1,真的好爱你
1,嗯嗯有你真好
1,不离开期待你能彻底解决
1,全民动员发挥社会环境公益互帮互助民众就会兴高采烈
1,手机很好
1,爱心强
1,哥收到谢谢哦
1,我最喜欢的颜色
1,你喜欢什么颜色啊我喜欢浅紫色
1,到帐了谢谢你
1,幽默的可爱的坚韧的敬佩的是您
1,只要不是骗子就无问题
1,没有了很感谢
1,当然有啦
1,微笑如果开了也顺便帮我取消谢谢
1,好不说了谢了
1,那个先不管了我在咨询你点撤的嘻嘻
1,哦哦原来这样吖好的
1,恩恩亲个
1,g好
1,我们心有灵犀不是吗
1,十分满意你的服务
1,这个杀手不太冷
1,哎猪我想你了
1,小弟你要玩开心一点哦
1,我会好好做的
1,丁文玉你好
1,那申请吧谢谢你啦
1,你们的心情愉快
1,我没有生气呀
1,哦那就谢了
1,最好的妆容是微笑最好的饰品是谦虚最好的衣裳是自信
1,谢谢已经成功开通
1,收到谢谢1ih1i不
1,叫茶花收我加油啊
1,这样子啊那谢谢啦没事了
1,收到谢謝
1,好的谢谢谢谢啊
1,我这个套餐我很满意
1,你回复的好快
1,加油电子
1,祝节日快乐财源广进恭喜发财
1,文赞哈哈哈哈尔巴黎明白色
1,烦请更换谢谢
1,6063服务满意
1,发个很好很好
1,谢谢你2015
1,取消谢谢谢你
1,没有了谢谢会给10086赞
1,最划算的流量包
1,是对
1,好吧没问题了谢谢了
1,好的我过后自己更换谢谢了没事了
1,我喜欢陈义杰
1,你好你吃饭没有我好想你
1,因为爱呀
1,谢谢12
1,祈求
1,喜欢你
1,好的谢谢你喽玫瑰
1,没有了谢谢了
1,我喜欢沈阳真爱舞曲网的我的好兄弟dj
1,没有了谢谢噢小可爱
1,真心谢谢您有事我再联系你晚安
1,来我们一起向更好的自己奔驰
1,亲亲嘛
1,人工好
1,行了谢谢
1,快点哈微笑
1,嘻嘻你
1,亲亲亲亲亲亲亲亲亲
1,没有啦谢谢亲
1,法国哈哈
1,哦非常感谢
1,没有我你老有能耐了
1,非常感谢你真棒么么哒з
1,我想你了
1,什么事情很喜欢乐园子女朋友谊我爱你
1,没有啦谢谢你
1,谢谢你了886
1,嗯嗯喜欢你
1,谢谢你的服务
1,哦那谢谢你了我会评满分的
1,懂了没事啦
1,谢谢你帮助
1,不尴尬了
1,嫁给我啊
1,还是很好
1,谢谢你的服务让我很满意
1,甚好
1,那我明白了谢谢你
1,这是解决问题的应有态度还十分满意
1,轻松
1,對謝謝你
1,爱你爱你哦
1,謝先生你好
1,很好谢谢小和么么哒ω
1,好好玩的
1,非常谢谢把我的积分换成话费
1,暂时还没有谢谢你
1,嗯这就好谢谢我明白了
1,北美航线居住地舒服
1,终于成功了
1,谢谢继续努力
1,快乐无处不在
1,收到谢谢你老大
1,不用了谢谢你
1,非常的不错
1,我已近报名了现在热血沸腾了
1,好1
1,嗯谢了加油
1,你好台州
1,好谢谢明白了
1,不是一个人我爱您为片断你观
1,好的那没问题了谢谢
1,OKsuccess
1,wgdwg谢谢
1,感谢客户建议
1,好的没事了谢谢我会给10086个赞
1,谢谢兄弟我已收到了
1,没有了谢谢你AA
1,没问题了谢谢哦
1,非常感谢不如就现在吧vivo智能手机
1,好的谢谢今天非常感谢你的回答微笑
1,不用了万分感谢小和
1,好的要尽快哦谢谢哦
1,你好临沂
1,好了没事啦
1,富有
1,好话费
1,谢谢share
1,我会尽力的
1,苏州那家店营业最好
1,人人有改善的能力事实有改善的余地
1,不用开了谢谢你
1,验证成功
1,那太谢谢你啦
1,五一假期放心浪
1,好了谢谢啦
1,嗯没有啦谢谢你啦
1,谢谢您的提醒
1,哦哦没有了谢谢你哦
1,我有好多钱
1,我是无辜的啊
1,好的没有其他问题了谢谢了
1,谢谢人民
1,嗯嗯好好万分感谢
1,你可真行
1,哦想你了真的好想好想
1,我爱你才信任你别辜负我
1,夕阳无限好
1,宝贝我爱你也
1,最勤快
1,谢谢已经没有问题了
1,感谢你的服务再见
1,服务周到很满意
1,我好中意你啊
1,你很好啊
1,我试试看微笑
1,路边青青草爱情真美好交人不金有缘要有心
1,我刚才办理的已经成功了
1,好的呀谢谢啦
1,LJKTLL20如果能牵起你的手是我这辈子最大的福气
1,有力
1,俺爱你
1,人生在世芬芳别人美丽自己
1,机智
1,谢谢啦呵呵
1,哦那没事了谢谢你V
1,good
1,你好厉害啊佩服
1,已经收到谢谢你
1,非常感谢微笑
1,你在干什么我好想你
1,多谢麻烦了
1,老婆好好考试昂爱你
1,我考虑下哈哈哈
1,OKTHANKS
1,好好好谢谢了
1,我上班都是骑自行车的既可以锻炼身体又低碳节能
1,帅哥亲一个
1,睡觉了祝你生活愉快拜拜天真
1,我也很高兴认识你吃饭了没
1,我是爱你的
1,我也爱中国联通
1,我好喜欢你
1,信任这东西就像自信一样重要
1,不用不用谢谢你了
1,爱你不是两三天没离开过
1,也许太早了点毕竟你才14岁没关系慢慢来
1,好的谢谢您祝你生活愉快
1,还是移动好会说也爱我
1,明白感谢
1,给666个赞
1,收到谢谢伟岸的伟大的伟哥
1,我爱你彭燕怡
1,跟之前人工不太一样有点萌萌哒
1,麻烦亲了微笑
1,人工查询可以和真人说话比较有亲切感
1,谢谢妞
1,别给我解扣我不是朋友也能帮上你的忙阿
1,哇哈哈哈对对对
1,哦谢谢我懂了
1,我喜欢你怎么办
1,我也爱你蔡俊
1,这么牛逼
1,好漂亮
1,笑看风云
1,极好
1,转成功了
1,中午登陆了好几次终于登上了
1,评价10分满意
1,哦明白了谢谢客服
1,没有了谢谢为我服务
1,好谢谢爱心
1,OO谢谢
1,挪你好你好你
1,呲牙小和给亲扣100000000000086赞哦
1,Thanksforurhelp
1,收到拾万非常感谢
1,感谢舅舅们一直的关爱和教导我在成长
1,嗨喽宝贝
1,极其满意
1,亲亲亲亲
1,已经成功了非常感谢
1,好懂了谢谢
1,好的相信你
1,谢谢哥谢谢
1,多谢多谢
1,评分10满意
1,好吧謝謝你
1,喜欢显然
1,你怎么那么能耐
1,好的谢谢你么么达
1,可是我很爱她
1,一代枭雄
1,好的谢谢我查查看哈
1,好7
1,小妹么么哒
1,我给力
1,我好漂亮
1,哈哈太搞笑了
1,都敏俊晚安呀思密达
1,夏总您好收到了非常感谢您的帮助谢谢
1,吃饭了吗大美女
1,呵呵好吧原谅你
1,谢谢我太爱你了
1,教会爸妈上微信全家更亲近
1,巴洛特利我男神
1,再次送你10086个赞
1,移动可以的
1,欢迎加入C04
1,亲爱的老婆嗨
1,好的我明白了谢谢你了
1,恩恩好滴
1,超耐磨
1,肯定是越实惠越好啊
1,我的天就好
1,350L豪华
1,哦哦我再去看一下谢谢啦
1,有票吗好兄弟一辈子
1,个人很多哈哈大笑
1,亲爱的宝贝
1,哦哦知道了你帮我取消了吧谢谢哈
1,收到谢谢收到谢谢
1,等两天我过去陪你玩放心吧我一定陪你玩爽
1,人家想你了
1,大爱弥天
1,查流量嘻嘻
1,好事情
1,独宠你的柔情
1,求赞
1,好评噢
1,下星期中考加油
1,厉害了我的姐挖鼻孔
1,亲亲谢谢了
1,好01
1,先处理下我收到短信那个谢谢了
1,黄生日快乐身心情纾学校那当然
1,哦謝謝你啦
1,是这个意思了解了
1,帅哥在干嘛
1,收到了亲亲老公
1,小和的服务很好真心谢谢
1,你好我想给爸爸买张下铺的票他的脚裸处受伤请帮下忙谢谢
1,希望一切都好
1,好感谢
1,好的多谢啦
1,很满意谢谢了
1,cs我爱你
1,嗯好得谢谢
1,收到谢谢3
1,小清新
1,你好福州
1,我承诺38元套餐不会15个月不降档
1,好哒帮我变更成这个吧这个看上去比我以前好
1,没什么了不好意思打扰你了
1,什么是吉祥号码啊
1,快谢我
1,您好中山
1,您好我已和酒店核实是系统录入错误没事了谢谢客服
1,感謝你的幫忙
1,沐浴露是十八本的页面活动显示喜欢你就送你
1,兄弟我以收到谢谢
1,路上堵车晚点到我会发邮件给你新婚快乐早生贵子
1,谢谢抱抱吧
1,呵呵你声音好听
1,没事啦现在取消也希望的
1,青浦区都可以
1,升级飞享套餐送高达420元话费
1,年流量他说可以啊
1,很重要请一定买回来
1,红在干嘛好想你
1,Flytotheskytothanktheyouth
1,00dpep01d好久不见最近好吗
1,现在接电话方便吗新年快乐阖家幸福
1,收到谢谢啦感激感激哈
1,给你的红包早就准备好了
1,okhand我去试试谢谢
1,也是我的荣幸
1,要低调哦
1,我试试多谢啦
1,浪漫定制的房间配置
1,谢谢侬哦
1,对的是有返还好的明白了
1,小和怎么给你好评
1,对方也同意把话费退回给我了就是这个13232712890
1,好滴谢谢给力
1,爱的就是你
1,谢谢谢谢您
1,好勒
1,哦哦那没问题了
1,小和你好今天是5月1号劳动节我祝你5月1日劳动节快乐5月1日你们今天有放假呢
1,为你撑起一片天为你遮风挡雨荣辱与共永远保护好我们的家庭
1,好想我自己想办法谢谢
1,好吧嗯好的谢谢
1,谢谢没问题
1,就是之前发短信是因为我是幸运客户所以不用扣
1,给力再见
1,明天你好
1,美女哦
1,那这个账号还有优惠的对吗
1,嗯那就没事了谢谢
1,帮忙买下健力宝谢谢
1,早上好吃饭没有你现在到那个里我好想你我想见你好吗再
1,我的话费是充足的
1,呵呵吃饭么
1,哦没问题了
1,希望我们能很快再相见
1,谢谢收到了祝您事事如意
1,满意丶ㄥㄥ一
1,丽有四次年就那当家任期望值得表扬吗
1,你好咯
1,好我再等下吧谢谢
1,YESmile阳光GOGOGO
1,嗯非常感谢
1,我又恋爱LE
1,嘻嘻乖宝宝
1,感恩1314
1,现在有什么业务优惠
1,好了到账了谢谢
1,太棒了
1,这帅帅的他呢可爱到掉渣
1,刘星宇你好我好想你
1,确定赠送免费流量
1,现在怎么买流量更优惠
1,鸟窝款已收到谢
1,噢噢懂了看错字了看成预定了赞同
1,送3g流量
1,钱已收到多谢了
1,没有了谢谢小和AA
1,正能量
1,唐喜源我爱你一嘻嘻
1,生活启示录第18集04分很好看哦
1,高层次
1,房租也收到谢谢张永兵
1,现在有什么流量套餐比较优惠
1,歌小时候的梦想一路走来从不曾遗忘
1,能够有一个便利的功能
1,请发一个正确的号码过来谢谢
1,客气了
1,你好可以麻烦你帮我查询一下吗
1,我下午还可以的
1,谢谢哟
1,好的有劳客服了
1,幸福的人
1,我昨天申请的信用卡刚才查了一下神奇通过了
1,不是优先使用吗
1,你今天不上班了我来陪你一会好吗
1,好帮我取消吧谢谢
1,但是我在网站已经重置成功了
1,没有了哟谢谢你
1,小和啊谢谢了
1,玫瑰谢谢你
1,应该算好的吧
1,荣誉
1,你好我们做个朋友吧
1,了解那没事了谢谢
1,那我就是跟着沾光所以走的送
1,你好中山
1,十分感谢谢谢你的来电
1,人生在世短短几十年里有几件不顺心如的事也是一种幸福
1,保肝护肝解酒
1,天无绝人之路是真的吗
1,好的我打95511咨询下谢谢
1,循环信用
1,会员好礼
1,哦哦哦好的我先考虑一下到时候找你
1,靓女我没事别担心
1,对您为我此次办理的非常假期业务业务十分满意谢谢
1,我喜欢你哦
1,好的试下谢谢
1,好人一生平安
1,哦谢谢了
1,卖个萌
1,好的这个可以
1,你好西安
1,嗯嗯小和姐姐我会的
1,哈哈吳姐我收到了謝謝啊
1,想了解一下家庭宽带有什么最优惠的套餐
1,美女们祝你们新年快乐
1,明白了谢谢你再见
1,樱你好你好你好于你好你好你好你好你好你好你
1,直接电话联系比较方便
1,评分满意
1,生日关怀活动对象
1,很简单谢谢
1,那好吧没事
1,也祝你们一切顺利
1,感觉健康
1,如何升级上网速度
1,哦好的谢谢您
1,好的收到了谢谢
1,GPRS10四川小伙就是帅
1,好的亲一定好评
1,OK没问题了
1,从苗种到饲料到鱼药把养殖户的钱都赚到手
1,小E你好很高兴认识你
1,提供免费的托运行李么
1,如果是没有订阅就放心
1,客服姐姐好看吗
1,谢谢希望你们尽快为我查找问题
1,哦懂了谢谢你
1,没了谢谢小和你真乖
1,呵呵恩
1,ο哇
1,好的谢谢你啦亲
1,基哥回来我可以啊可以啊嗯啊舒服
1,好的非常感谢再见
1,卧槽终于好了
1,收到了织女辛苦你了你打电话时我在做饭没听见
1,明白謝謝謝
1,5加油吧
1,亲加油
1,您好我叫智能小卫很高兴认识您
1,哼哈哈
1,你计策幸福快乐液体
1,好想亲你一下抱抱你啥时来陪陪哥几天
1,你要一直快乐噢
1,收到了谢谢吕总
1,谢谢byebye
1,帮忙加油包
1,哦哦好的谢谢您
1,我已经购票成功了
1,哦那我打过去问问谢谢你先
1,6666实力撩妹
1,我谢谢你
1,谢你妈谢你婆的你妈配你会合你早中十八代
1,毛主席万岁
1,发了工资了嘿嘿
1,恩是一致的
1,甜催
1,给哥笑一个
1,好的谢谢就更换为这个套餐谢谢
1,退订谢谢你们辛苦了
1,额谢谢咯小美妞
1,好谢谢你的耐心解答
1,我今天很开心可走我砂了乐
1,欢乐在心
1,我很爱很爱他
1,哦明白谢谢啦
1,我喜欢你呗
1,謝謝謝
1,明白我再問清楚先謝謝
1,多谢了
1,不好意思也许是网络中断吧没什么事谢谢啊
1,好的了解了我考虑下谢谢你的解答
1,手机都停了还可以订购这么科学
1,嗯嗯嗯你很可爱
1,爱上上海滩
1,嗯摸摸大哈哈AA
1,客服您好你们服务为神速感谢我爱海尔
1,再次谢谢你的帮忙
1,那你明白nn
1,沒有其他問題了謝
1,海南航空您好
1,好的太好了
1,这我知道了
1,述6
1,看起来不错啊
1,视频验证成功
1,谢谢了不用其他帮助
1,满意评分100分
1,好的谢谢麻烦您了
1,没睡愿不愿意做我女朋友啊倩宝我想你了
1,没有了小和那么棒叫中国移动给你加鸡腿哈哈哈
1,okthanksbye
1,日租卡网速快
1,速率提升
1,沒有麻煩了你小和
1,你比wifi还要重要
1,小安真棒
1,希望您们发展的更好更厉害
1,那好吧谢谢没事了
1,知道了
1,哈哈说个笑话
1,好啦A碅AA比心
1,thankyouverymuchjoe
1,苦自己尝累自己扛相信老天不会把我怎样
1,我漂亮
1,身心一至快乐无务
1,0K谢谢
1,毛泽东永远伟大
1,GoodNightSweetheart
1,满急评10分
1,收到谢谢谢谢总
1,表情挺好玩
1,18元套餐想了解一下
1,恭喜回家屁土豪求妹子么么哒爱你保重
1,跑得真快
1,喜欢关注科技喜欢学做好吃的饭菜
1,好的我再查查看谢谢
1,快快乐乐拒
1,可以的十分好评
1,人生就考试一样一样的通过
1,五元加油
1,谢谢没事淋下雨
1,你真乖
